Label,Skin,MaxPrice,brands_in_view,SkinMatch_Leader_Brand,SkinMatch_Coverage,SkinMatch_AvgRating,SkinMatch_AvgPrice,Lift_Leader_Brand,Lift_Avg,Lift_HighCount,Distinct_Leader_Brand,Distinct_Avg,Distinct_Count
Moisturizer,Combination,60,31,OLEHENRIKSEN,0.6,4.32,45.67,SATURDAY SKIN,1.345,2,TATCHA,3.6,5
Moisturizer,Combination,80,34,OLEHENRIKSEN,0.6,4.32,45.67,SATURDAY SKIN,1.345,2,TATCHA,3.6,5
Moisturizer,Combination,100,37,FRESH,0.733,4.2,67.0,SATURDAY SKIN,1.345,2,TATCHA,3.6,5
Moisturizer,Combination,120,39,FRESH,0.733,4.2,67.0,SATURDAY SKIN,1.345,2,TATCHA,3.6,5
Moisturizer,Combination,150,41,FRESH,0.733,4.2,67.0,SATURDAY SKIN,1.345,2,TATCHA,3.6,5
Moisturizer,Combination,200,42,FRESH,0.733,4.2,67.0,SATURDAY SKIN,1.345,2,TATCHA,3.6,5
Moisturizer,Dry,40,12,OLEHENRIKSEN,0.6,4.3,39.0,LANEIGE,1.175,1,BELIF,2.932,7
Moisturizer,Dry,60,28,OLEHENRIKSEN,0.6,4.33,46.67,SATURDAY SKIN,1.363,2,TATCHA,3.6,5
Moisturizer,Dry,80,32,KATE SOMERVILLE,0.6,4.35,65.0,SATURDAY SKIN,1.363,2,TATCHA,3.6,5
Moisturizer,Dry,100,35,CLARINS,0.733,4.3,69.0,SATURDAY SKIN,1.363,2,TATCHA,3.6,5
Moisturizer,Dry,120,38,CLARINS,0.733,4.3,69.0,SATURDAY SKIN,1.363,2,TATA HARPER,3.784,6
Moisturizer,Dry,150,40,CLARINS,0.733,4.3,69.0,SATURDAY SKIN,1.363,2,TATA HARPER,3.784,6
Moisturizer,Dry,200,41,CLARINS,0.733,4.3,69.0,SATURDAY SKIN,1.363,2,TATA HARPER,3.784,6
Moisturizer,Normal,40,12,CLINIQUE,0.6,4.13,35.33,DR. JART+,1.221,2,BELIF,2.932,7
Moisturizer,Normal,60,32,CLARINS,0.733,4.35,52.5,SATURDAY SKIN,1.352,2,TATCHA,3.6,5
Moisturizer,Normal,80,35,CLARINS,0.733,4.35,52.5,SATURDAY SKIN,1.352,2,TATCHA,3.6,5
Moisturizer,Normal,100,37,CLARINS,0.733,4.27,65.0,SATURDAY SKIN,1.352,2,TATCHA,3.6,5
Moisturizer,Normal,120,39,CLARINS,0.733,4.27,65.0,SATURDAY SKIN,1.352,2,TATCHA,3.6,5
Moisturizer,Normal,150,41,CLARINS,0.733,4.27,65.0,SATURDAY SKIN,1.352,2,TATCHA,3.6,5
Moisturizer,Normal,200,42,CLARINS,0.733,4.27,65.0,SATURDAY SKIN,1.352,2,TATCHA,3.6,5
Moisturizer,Oily,40,14,CLINIQUE,0.6,4.33,35.33,LANEIGE,1.168,1,BELIF,2.932,7
Moisturizer,Oily,60,30,BIOSSANCE,0.6,4.47,46.67,SATURDAY SKIN,1.341,2,SATURDAY SKIN,3.576,2
Moisturizer,Oily,80,34,KATE SOMERVILLE,0.667,4.3,65.0,SATURDAY SKIN,1.341,2,TATCHA,3.6,5
Moisturizer,Oily,100,36,KATE SOMERVILLE,0.667,4.22,75.0,SATURDAY SKIN,1.341,2,TATCHA,3.6,5
Moisturizer,Oily,120,38,ALGENIST,0.667,4.35,103.5,SATURDAY SKIN,1.341,2,TATCHA,3.6,5
Moisturizer,Oily,150,39,ALGENIST,0.667,4.35,103.5,SATURDAY SKIN,1.341,2,TATCHA,3.6,5
Moisturizer,Oily,200,40,ALGENIST,0.667,4.35,103.5,SATURDAY SKIN,1.341,2,TATCHA,3.6,5
Moisturizer,Sensitive,40,12,OLEHENRIKSEN,0.6,4.3,39.0,DR. JART+,1.238,2,DR. JART+,2.699,6
Moisturizer,Sensitive,60,24,OLEHENRIKSEN,0.6,4.34,45.0,SATURDAY SKIN,1.403,2,TATCHA,3.6,5
Moisturizer,Sensitive,80,27,OLEHENRIKSEN,0.6,4.34,45.0,SATURDAY SKIN,1.403,2,TATCHA,3.6,5
Moisturizer,Sensitive,100,28,CLARINS,0.733,4.3,69.0,SATURDAY SKIN,1.403,2,TATCHA,3.6,5
Moisturizer,Sensitive,120,31,CLARINS,0.733,4.3,69.0,SATURDAY SKIN,1.403,2,TATCHA,3.6,5
Moisturizer,Sensitive,150,33,CLARINS,0.733,4.3,69.0,SATURDAY SKIN,1.403,2,TATCHA,3.6,5
Moisturizer,Sensitive,200,34,CLARINS,0.733,4.3,69.0,SATURDAY SKIN,1.403,2,TATCHA,3.6,5
Sun protect,Combination,40,11,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.19,0,MDSOLARSCIENCES,3.584,3
Sun protect,Combination,60,12,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.19,0,MDSOLARSCIENCES,3.584,3
Sun protect,Combination,80,15,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.19,0,MDSOLARSCIENCES,3.584,3
Sun protect,Combination,100,15,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.19,0,MDSOLARSCIENCES,3.584,3
Sun protect,Combination,120,15,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.19,0,MDSOLARSCIENCES,3.584,3
Sun protect,Combination,150,15,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.19,0,MDSOLARSCIENCES,3.584,3
Sun protect,Combination,200,15,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.19,0,MDSOLARSCIENCES,3.584,3
Sun protect,Dry,40,11,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.187,0,MDSOLARSCIENCES,3.584,3
Sun protect,Dry,60,11,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.187,0,MDSOLARSCIENCES,3.584,3
Sun protect,Dry,80,14,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.187,0,MDSOLARSCIENCES,3.584,3
Sun protect,Dry,100,14,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.187,0,MDSOLARSCIENCES,3.584,3
Sun protect,Dry,120,14,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.187,0,MDSOLARSCIENCES,3.584,3
Sun protect,Dry,150,14,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.187,0,MDSOLARSCIENCES,3.584,3
Sun protect,Dry,200,14,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.187,0,MDSOLARSCIENCES,3.584,3
Sun protect,Normal,40,11,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.184,0,MDSOLARSCIENCES,3.584,3
Sun protect,Normal,60,12,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.184,0,MDSOLARSCIENCES,3.584,3
Sun protect,Normal,80,15,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.184,0,MDSOLARSCIENCES,3.584,3
Sun protect,Normal,100,15,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.184,0,MDSOLARSCIENCES,3.584,3
Sun protect,Normal,120,15,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.184,0,MDSOLARSCIENCES,3.584,3
Sun protect,Normal,150,15,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.184,0,MDSOLARSCIENCES,3.584,3
Sun protect,Normal,200,15,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.184,0,MDSOLARSCIENCES,3.584,3
Sun protect,Oily,40,12,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.199,0,MDSOLARSCIENCES,3.584,3
Sun protect,Oily,60,12,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.199,0,MDSOLARSCIENCES,3.584,3
Sun protect,Oily,80,14,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.199,0,MDSOLARSCIENCES,3.584,3
Sun protect,Oily,100,14,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.199,0,MDSOLARSCIENCES,3.584,3
Sun protect,Oily,120,14,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.199,0,MDSOLARSCIENCES,3.584,3
Sun protect,Oily,150,14,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.199,0,MDSOLARSCIENCES,3.584,3
Sun protect,Oily,200,14,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.199,0,MDSOLARSCIENCES,3.584,3
Sun protect,Sensitive,40,11,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.188,0,MDSOLARSCIENCES,3.584,3
Sun protect,Sensitive,60,12,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.188,0,MDSOLARSCIENCES,3.584,3
Sun protect,Sensitive,80,14,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.188,0,MDSOLARSCIENCES,3.584,3
Sun protect,Sensitive,100,14,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.188,0,MDSOLARSCIENCES,3.584,3
Sun protect,Sensitive,120,14,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.188,0,MDSOLARSCIENCES,3.584,3
Sun protect,Sensitive,150,14,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.188,0,MDSOLARSCIENCES,3.584,3
Sun protect,Sensitive,200,14,PETER THOMAS ROTH,0.6,4.0,34.0,PETER THOMAS ROTH,1.188,0,MDSOLARSCIENCES,3.584,3
Treatment,Combination,40,11,CLINIQUE,0.6,4.1,23.0,PEACE OUT,1.072,0,PEACE OUT,7.253,6
Treatment,Combination,60,17,PETER THOMAS ROTH,0.6,4.33,43.71,PEACE OUT,1.072,0,PEACE OUT,7.253,6
Treatment,Combination,80,23,OLEHENRIKSEN,0.6,4.32,50.25,PEACE OUT,1.072,0,PEACE OUT,7.253,6
Treatment,Combination,100,28,CLARINS,0.733,4.13,76.33,PEACE OUT,1.072,0,PEACE OUT,7.253,6
Treatment,Combination,120,30,CLARINS,0.733,4.13,76.33,PEACE OUT,1.072,0,PEACE OUT,7.253,6
Treatment,Combination,150,30,CLARINS,0.733,4.13,76.33,PEACE OUT,1.072,0,PEACE OUT,7.253,6
Treatment,Combination,200,32,CLARINS,0.733,4.13,76.33,PEACE OUT,1.072,0,PEACE OUT,7.253,6
Treatment,Dry,40,7,CLINIQUE,0.6,4.1,23.0,PEACE OUT,1.066,0,PEACE OUT,7.253,6
Treatment,Dry,60,14,OLEHENRIKSEN,0.6,4.32,50.25,MOON JUICE,1.076,0,PEACE OUT,7.253,6
Treatment,Dry,80,20,OLEHENRIKSEN,0.6,4.32,50.25,MOON JUICE,1.076,0,PEACE OUT,7.253,6
Treatment,Dry,100,25,CLARINS,0.733,4.13,76.33,MOON JUICE,1.076,0,PEACE OUT,7.253,6
Treatment,Dry,120,27,CLARINS,0.733,4.13,76.33,MOON JUICE,1.076,0,PEACE OUT,7.253,6
Treatment,Dry,150,27,CLARINS,0.733,4.13,76.33,MOON JUICE,1.076,0,PEACE OUT,7.253,6
Treatment,Dry,200,29,CLARINS,0.733,4.13,76.33,MOON JUICE,1.076,0,PEACE OUT,7.253,6
Treatment,Normal,40,8,CLINIQUE,0.6,4.1,23.0,PEACE OUT,1.072,0,PEACE OUT,7.253,6
Treatment,Normal,60,16,PETER THOMAS ROTH,0.6,4.33,43.71,PEACE OUT,1.072,0,PEACE OUT,7.253,6
Treatment,Normal,80,22,OLEHENRIKSEN,0.6,4.32,50.25,PEACE OUT,1.072,0,PEACE OUT,7.253,6
Treatment,Normal,100,27,CLARINS,0.733,4.13,76.33,PEACE OUT,1.072,0,PEACE OUT,7.253,6
Treatment,Normal,120,29,CLARINS,0.733,4.13,76.33,PEACE OUT,1.072,0,PEACE OUT,7.253,6
Treatment,Normal,150,29,CLARINS,0.733,4.13,76.33,PEACE OUT,1.072,0,PEACE OUT,7.253,6
Treatment,Normal,200,31,CLARINS,0.733,4.13,76.33,PEACE OUT,1.072,0,PEACE OUT,7.253,6
Treatment,Oily,40,11,KIEHL'S SINCE 1851,0.6,4.45,26.5,PEACE OUT,1.077,0,PEACE OUT,7.253,6
Treatment,Oily,60,17,KATE SOMERVILLE,0.667,4.22,42.75,PEACE OUT,1.077,0,PEACE OUT,7.253,6
Treatment,Oily,80,23,ALGENIST,0.667,4.25,56.0,PEACE OUT,1.077,0,PEACE OUT,7.253,6
Treatment,Oily,100,28,ALGENIST,0.667,4.3,72.5,PEACE OUT,1.077,0,PEACE OUT,7.253,6
Treatment,Oily,120,30,ALGENIST,0.667,4.18,87.17,PEACE OUT,1.077,0,PEACE OUT,7.253,6
Treatment,Oily,150,30,ALGENIST,0.667,4.18,87.17,PEACE OUT,1.077,0,PEACE OUT,7.253,6
Treatment,Oily,200,31,ALGENIST,0.667,4.18,87.17,PEACE OUT,1.077,0,PEACE OUT,7.253,6
Treatment,Sensitive,40,7,PETER THOMAS ROTH,0.6,3.95,32.5,PEACE OUT,1.058,0,PEACE OUT,7.253,6
Treatment,Sensitive,60,14,OLEHENRIKSEN,0.6,4.3,47.67,PEACE OUT,1.058,0,PEACE OUT,7.253,6
Treatment,Sensitive,80,18,OLEHENRIKSEN,0.6,4.3,47.67,PEACE OUT,1.058,0,PEACE OUT,7.253,6
Treatment,Sensitive,100,21,CLARINS,0.733,4.35,74.0,PEACE OUT,1.058,0,PEACE OUT,7.253,6
Treatment,Sensitive,120,23,CLARINS,0.733,4.35,74.0,PEACE OUT,1.058,0,PEACE OUT,7.253,6
Treatment,Sensitive,150,24,CLARINS,0.733,4.35,74.0,PEACE OUT,1.058,0,PEACE OUT,7.253,6
Treatment,Sensitive,200,26,CLARINS,0.733,4.35,74.0,PEACE OUT,1.058,0,PEACE OUT,7.253,6
